...1,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
1759,Sierra Leone,2015-08-27,8697,4598,3586
1760,Guinea,2015-08-27,3336,9,2076
1769,Liberia,2015-08-28,3151,5636,NA
1770,Sierra Leone,2015-08-28,8697,4602,3586
1771,Guinea,2015-08-28,3336,9,2076
1780,Liberia,2015-08-31,3151,5636,NA
1781,Sierra Leone,2015-08-31,8698,4618,3587
1782,Guinea,2015-08-31,3337,1,2076
1791,Guinea,2015-09-01,3337,3,2077
1792,Liberia,2015-09-01,3151,5636,NA
1793,Sierra Leone,2015-09-01,8698,4624,3587
1802,Guinea,2015-09-02,3337,3,2077
1803,Sierra Leone,2015-09-02,8698,4624,3587
1804,Liberia,2015-09-02,3151,5636,NA
1813,Guinea,2015-09-03,3338,2,2077
1814,Liberia,2015-09-03,3151,5636,NA
1815,Sierra Leone,2015-09-03,8698,4653,3587
1824,Guinea,2015-09-04,3338,2,2077
1825,Sierra Leone,2015-09-04,8698,4654,3587
1826,Liberia,2015-09-04,3151,5636,NA
1835,Liberia,2015-09-07,3151,5636,NA
1836,Sierra Leone,2015-09-07,8699,4684,3587
1837,Guinea,2015-09-07,3338,3,2078
1846,Liberia,2015-09-08,3151,5636,NA
1847,Sierra Leone,2015-09-08,8699,4697,3587
1848,Guinea,2015-09-08,3338,2,2078
1857,Guinea,2015-09-09,3338,2,2078
1858,Sierra Leone,2015-09-09,8699,4697,3587
1859,Liberia,2015-09-09,3151,5636,NA
1868,Liberia,2015-09-10,3151,5636,NA
1869,Sierra Leone,2015-09-10,8702,4708,3587
1870,Guinea,2015-09-10,3338,1,2078
1879,Liberia,2015-09-11,3151,5636,NA
1880,Sierra Leone,2015-09-11,8703,4711,3587
1881,Guinea,2015-09-11,3338,1,2078
1890,Liberia,2015-09-14,3151,5636,NA
1891,Sierra Leone,2015-09-14,8703,4757,3587
1892,Guinea,2015-09-14,3338,3,2078
1901,Sierra Leone,2015-09-15,8704,4765,3587
1902,Guinea,2015-09-15,3338,2,2078
1903,Liberia,2015-09-15,3151,5636,NA
1912,Guinea,2015-09-16,3338,2,2078
1913,Sierra Leone,2015-09-16,8704,4765,3587
1914,Liberia,2015-09-16,3151,5636,NA
1923,Liberia,2015-09-17,3151,5636,NA
1924,Sierra Leone,2015-09-17,8704,4788,3589
1925,Guinea,2015-09-17,3338,4,2078
1934,Liberia,2015-09-18,3151,5636,NA
1935,Sierra Leone,2015-09-18,8704,4794,3589
1936,Guinea,2015-09-18,3339,3,2079
1945,Sierra Leone,2015-09-21,8704,4820,3589
1946,Guinea,2015-09-21,3340,4,2079
1947,Liberia,2015-09-21,3151,5636,NA
1956,Guinea,2015-09-22,3340,7,2079
1957,Liberia,2015-09-22,3151,5636,NA
1958,Sierra Leone,2015-09-22,8704,4832,3589
1967,Liberia,2015-09-23,3151,5636,NA
1968,Sierra Leone,2015-09-23,8704,4832,3589
1969,Guinea,2015-09-23,3340,7,2079
1978,Liberia,2015-09-24,3151,5636,NA
1979,Sierra Leone,2015-09-24,8704,4855,3589
1980,Guinea,2015-09-24,3340,8,2080
1989,Liberia,2015-09-25,3151,5636,NA
1990,Sierra Leone,2015-09-25,8704,4864,3589
1991,Guinea,2015-09-25,3340,4,2080
2000,Sierra Leone,2015-09-28,8704,4903,3589
2001,Liberia,2015-09-28,3151,5636,NA
2002,Guinea,2015-09-28,3342,10,2080
2011,Liberia,2015-09-29,3151,5636,NA
2012,Sierra Leone,2015-09-29,8704,4920,3589
2013,Guinea,2015-09-29,3344,8,2080
2022,Liberia,2015-09-30,3151,5636,NA
2023,Sierra Leone,2015-09-30,8704,4920,3589
2024,Guinea,2015-09-30,3344,8,2080
2033,Sierra Leone,2015-10-01,8704,4937,3589
2034,Liberia,2015-10-01,3151,5636,NA
2035,Guinea,2015-10-01,3344,11,2080
2044,Sierra Leone,2015-10-02,8704,4940,3589
2045,Liberia,2015-10-02,3151,5636,NA
2046,Guinea,2015-10-02,3344,12,2080
2055,Liberia,2015-10-05,3151,5636,NA
2056,Sierra Leone,2015-10-05,8704,4950,3589
2057,Guinea,2015-10-05,3344,7,2081
2066,Guinea,2015-10-06,3344,7,2081
2067,Sierra Leone,2015-10-06,8704,4954,3589
2068,Liberia,2015-10-06,3151,5636,NA
2077,Liberia,2015-10-07,3151,5636,NA
2078,Sierra Leone,2015-10-07,8704,4954,3589
2079,Guinea,2015-10-07,3344,7,2081
2088,Liberia,2015-10-08,3151,5636,NA
2089,Sierra Leone,2015-10-08,8704,4965,3589
2090,Guinea,2015-10-08,3344,2,2081
2099,Sierra Leone,2015-10-09,8704,4966,3589
2100,Liberia,2015-10-09,3151,5636,NA
2101,Guinea,2015-10-09,3344,3,2081
2110,Sierra Leone,2015-10-13,8704,4991,3589
2111,Liberia,2015-10-13,3151,5636,NA
2112,Guinea,2015-10-13,3344,3,2081
2121,Liberia,2015-10-15,3151,5636,NA
2122,Sierra Leone,2015-10-15,8704,5001,3589
2123,Guinea,2015-10-15,3345,4,2081
2132,Guinea,2015-10-16,3346,5,2082
2133,Liberia,2015-10-16,3151,5636,NA
2134,Sierra Leone,2015-10-16,8704,5001,3589
2143,Sierra Leone,2015-10-20,8704,5010,3589
2144,Liberia,2015-10-20,3151,5636,NA
2145,Guinea,2015-10-20,3347,3,2082
2154,Sierra Leone,2015-10-22,8704,5040,3589
2155,Liberia,2015-10-22,3151,5636,NA
2156,Guinea,2015-10-22,3347,1,2082
2165,Guinea,2015-10-23,3347,1,2082
2166,Sierra Leone,2015-10-23,8704,5047,3589
2167,Liberia,2015-10-23,3151,5636,NA
2176,Sierra Leone,2015-10-26,8704,5061,3589
2177,Liberia,2015-10-26,3151,5636,NA
2178,Guinea,2015-10-26,3350,1,2082
2187,Sierra Leone,2015-10-27,8704,5070,3589
2188,Liberia,2015-10-27,3151,5636,NA
2189,Guinea,2015-10-27,3350,3,2082
2198,Sierra Leone,2015-10-29,8704,5075,3589
2199,Liberia,2015-10-29,3151,5636,NA
2200,Guinea,2015-10-29,3350,5,2083
2209,Sierra Leone,2015-10-30,8704,5076,3589
2210,Liberia,2015-10-30,3151,5636,NA
2211,Guinea,2015-10-30,3350,5,2083
2220,Guinea,2015-11-03,3351,6,2083
2221,Liberia,2015-11-03,3151,5636,NA
2222,Sierra Leone,2015-11-03,8704,5098,3589
2231,Guinea,2015-11-05,3351,1,2083
2232,Sierra Leone,2015-11-05,8704,5113,3589
2233,Liberia,2015-11-05,3151,5636,NA
2242,Sierra Leone,2015-11-06,8704,5118,3589
2243,Liberia,2015-11-06,3151,5636,NA
2244,Guinea,2015-11-06,3351,1,2083
2253,Liberia,2015-11-10,3151,5636,NA
2254,Sierra Leone,2015-11-10,8704,5131,3589
2255,Guinea,2015-11-10,3351,1,2083
2264,Liberia,2015-11-11,3151,5636,NA
2265,Guinea,2015-11-11,3351,1,2083
2266,Sierra Leone,2015-11-11,8704,5131,3589
2275,Liberia,2015-11-12,3151,5636,NA
2276,Sierra Leone,2015-11-12,8704,5131,3589
2277,Guinea,2015-11-12,3351,1,2083
2286,Liberia,2015-11-16,3151,5636,NA
2287,Sierra Leone,2015-11-16,8704,5131,3589
2288,Guinea,2015-11-16,3351,1,2083
2297,Liberia,2015-11-17,3151,5636,NA
2298,Sierra Leone,2015-11-17,8704,5131,3589
2299,Guinea,2015-11-17,3351,0,2083
2308,Guinea,2015-11-20,3351,0,2083
2309,Sierra Leone,2015-11-20,8704,5131,3589
2310,Liberia,2015-11-20,3151,5636,NA
2319,Sierra Leone,2015-11-24,8704,5131,3589
2320,Liberia,2015-11-24,3151,5636,NA
2321,Guinea,2015-11-24,3351,0,2083
2330,Liberia,2015-11-26,3151,5636,NA
2331,Sierra Leone,2015-11-26,8704,5131,3589
2332,Guinea,2015-11-26,3351,0,2083
2341,Liberia,2015-12-01,3151,5636,NA
2342,Sierra Leone,2015-12-01,8704,5131,3589
2343,Guinea,2015-12-01,3351,0,2083
2352,Liberia,2015-12-02,3151,5636,NA
2353,Guinea,2015-12-02,3351,0,2083
2354,Sierra Leone,2015-12-02,8704,5131,3589
2363,Guinea,2015-12-03,3351,1,2083
2364,Liberia,2015-12-03,3151,5636,NA
2365,Sierra Leone,2015-12-03,8704,5131,3589
2374,Guinea,2015-12-09,3351,0,2083
2375,Liberia,2015-12-09,3151,5636,NA
2376,Sierra Leone,2015-12-09,8704,5131,3589
2385,Guinea,2015-12-10,3351,0,2083
2386,Sierra Leone,2015-12-10,8704,5131,3589
2387,Liberia,2015-12-10,3151,5636,NA
2396,Sierra Leone,2015-12-11,8704,5131,3589
2397,Liberia,2015-12-11,3151,5636,NA
2398,Guinea,2015-12-11,3351,0,2083
2407,Guinea,2015-12-15,3351,3,2083
2408,Liberia,2015-12-15,3151,5636,NA
2409,Sierra Leone,2015-12-15,8704,5131,3589
2418,Sierra Leone,2015-12-16,8704,5131,3589
2419,Guinea,2015-12-16,3351,3,2083
2420,Liberia,2015-12-16,3151,5636,NA
2429,Sierra Leone,2015-12-17,8704,5131,3589
2430,Liberia,2015-12-17,3151,5636,NA
2431,Guinea,2015-12-17,3351,1,2083
2440,Liberia,2015-12-22,3151,5636,NA
2441,Sierra Leone,2015-12-22,8704,5131,3589
2442,Guinea,2015-12-22,3351,0,2083
2451,Liberia,2015-12-23,3151,5636,NA
2452,Sierra Leone,2015-12-23,8704,5131,3589
2453,Guinea,2015-12-23,3351,0,2083
2462,Liberia,2015-12-29,3151,5636,NA
2463,Sierra Leone,2015-12-29,8704,5131,3589
2464,Guinea,2015-12-29,3351,0,2083
2473,Guinea,2016-03-23,3351,0,2083
2474,Liberia,2016-03-23,3151,5636,NA
2475,Sierra Leone,2016-03-23,8704,5131,3589
